set,id,f_ED,f_MD,f_EQ,f_MQ,T,R
P0750_lam,l1354,0.1644275775589901,0.3163143818091191,0.5112158565843321,0.0080421840475585,0.4305583676606778,0.5694418157280706
P0750_lam,l1355,0.1672724008032611,0.3133151688070702,0.5108612102578929,0.0085512201317757,0.4514011986735894,0.5485824218596332
P0750_lam,l1356,0.1699536421378586,0.3111394389181928,0.5098659774745244,0.0090409414694241,0.4720037930433963,0.5279294539660716
P0750_lam,l1357,0.1725228573895521,0.3100169911556162,0.5079492822052127,0.0095108692496188,0.492068940161343,0.5078559627050852
P0750_lam,l1358,0.1749352905735984,0.309921397120157,0.5052031549646645,0.0099401573415799,0.5125081728381811,0.4874187303359934
P0750_lam,l1359,0.1770653284747179,0.3111166276310711,0.5014941673719855,0.0103238765222254,0.5323083451825479,0.4676162273041218
P0750_lam,l1360,0.1789914296992402,0.3139000855215152,0.4964307279470344,0.0106777568322101,0.5521376825494476,0.4477755040800499
stageA_lam0,P0550_H0150_seed011,0.6973428987041668,0.2503979428658631,0.0238770820009266,0.0283820764290434,,
stageA_lam0,P0550_H0150_seed029,0.9181587548309198,0.0412346254372055,0.0351090115252274,0.0054976082066472,,
stageA_lam0,P0550_H0250_seed011,0.4909973008535742,0.051649499316454,0.4569394410942263,0.0004137587357454,,
stageA_lam0,P0550_H0250_seed029,0.0466911630362632,0.6233946850426861,0.3293021799710309,0.0006119719500197,,
stageA_lam0,P0550_H0350_seed011,0.0342591183846242,0.633546164284213,0.3283895837875943,0.0038051335435684,,
stageA_lam0,P0550_H0350_seed029,0.0661626697375879,0.5861659782326138,0.3396753441317158,0.0079960078980823,,
stageA_lam0,P0650_H0150_seed011,0.9734750924754274,0.0003107155177001,0.0221324581556147,0.0040817338512575,,
stageA_lam0,P0650_H0150_seed029,0.9593920557850072,0.0200473919866664,0.0192828029754505,0.0012777492528757,,
stageA_lam0,P0650_H0250_seed011,0.3117082074075342,0.4269821715855057,0.2541831077582723,0.0071265132486879,,
stageA_lam0,P0650_H0250_seed029,0.269280096601568,0.4155181531105686,0.3047561591035602,0.0104455911843031,,
stageA_lam0,P0650_H0350_seed011,0.0067134203636757,0.6757367958711424,0.3140203765500124,0.0035294072151692,,
stageA_lam0,P0650_H0350_seed029,0.5313647413200608,0.1371546726791225,0.0331057903305585,0.2983747956702581,,
stageA_lam0,P0750_H0150_seed011,0.8749562520537375,0.009742963355639,0.1061500507296599,0.0091507338609636,,
stageA_lam0,P0750_H0150_seed029,0.8859179525882873,0.0063822238121458,0.1016884093817869,0.0060114142177799,,
stageA_lam0,P0750_H0250_seed011,0.063283270859942,0.5976116447654165,0.312053465146125,0.0270516192285163,,
stageA_lam0,P0750_H0250_seed029,0.3331128233275405,0.4299349909817204,0.2297580906633574,0.0071940950273815,,
stageA_lam0,P0750_H0350_seed011,0.6085184289269392,0.0380026445016932,0.262877280870649,0.0906016457007186,,
stageA_lam0,P0750_H0350_seed029,0.408437284062613,0.1438080459095554,0.376385367404628,0.0713693026232036,,
